title,content,rating,username,genres
8.0,Minimal Speaking. Visuals tell the story. Hardy is just as good as DiCaprio in this.,8.0,Anonymous,"Action, Adventure, Drama"
One of the Best Movies I'll never watch twice,"The Revenant falls into the same category as Aronofsky's ""Requiem for a Dream"" and Spielberg's ""Schindler's List"" for me, in the essence of being a terrific movie but not something I think I can sit through a second time. In all these movies there are brutal sequences that cause emotional stress and disgust just watching because it is so REAL and GRIPPING. To think that events in these movies actually happened or that they could very well happen is too much for me to think about. Not to say that I did not enjoy this film thoroughly.The Revenant is a technical masterpiece that left me wondering ""How the hell did they do that?"" after many scenes and sequences. With beautiful cinematography and adroit camera movement this film is a visual magnum opus. It is apparent that the great minds that put forth this film are none other than the same ones that brought us Birdman: Lubezki and Inarritu. There are many long shots without cuts that are sprinkled throughout the film that add a sense of sophistication to it with the added bonus of predominantly location based shooting and natural lighting for the film , that can even make a novice film watcher raise an eyebrow at its complexity.The camera work is not the only noteworthy aspect of the film; The actors did a superb job executing their rolls. Many are raving about DiCaprio's performance but I was more of a fan of Hardy's brutal and gritty character Fitzgerald. Granted, half the words that came out of his mouth were unintelligible but he left no doubt in my mind that he was fully devoted to his role and bringing Fitzgerald alive instead of just Hardy playing a character named Fitzgerald. He was simply amazing.With all this said, there are still flaws in the film. At some points it was dragging on and moving too slow. It gave the impression that the film itself was cocky and wanted to show off all of its beautiful scenery and camera work too much. Then there was the ""he shouldn't be alive"" situations. Hugh Glass was a real guy that really did survive a bear mauling but in the film they make this guy practically immortal. There were too many instances where I was thinking ""he should be dead three times over right now, for me to enjoy the film as much I should have.All in all a great film that I only recommend to seasoned and mature film viewers.",8.0,Anonymous,"Action, Adventure, Drama"
Spellbinding contrasts of nature's beauty and brutality,"The Revenant (2015), Alejandro G. Iñárritu's sixth film, is one of the most visually stunning statements ever put to film in cinema history.With a simple plot of chaos ensuing, and a father's quest for revenge, there is not much to the story, albeit I thought it had some emotionally engaging moments. Rather, it is The Revenant's technical merits that makes it truly unique.Naturally, DiCaprio's performance is in a class of its own, and what the entire crew endured is impressive, shooting the film only in natural lighting and thus extending production considerably. Rather, it is Iñárritu's expert vision for cinematography and ability to translate this vision to his director of photography which is the driving force in making The Revenant a special piece of cinema. The way in which Iñárritu takes the viewer on an intricate journey through America's nature is breathtakingly beautiful and brutal - this is truly a place a survival, chaos and solitude. The film's depiction of this is not for the faint-hearted with its gruesome violence.Highly recommended for its cinematic value.",8.0,Anonymous,"Action, Adventure, Drama"
"Harrowing storytelling with a gorgeous cinematic backdrop, The Revenant is not for the faint of heart but will stick with those who make the journey.","Since the first trailers of this movie came out I knew it would be an experience. Following the incredible Birdman, director Alejandro G. Iñárritu had the public anxiously awaiting his interpretation of this bleak survival story, and much like Birdman, Iñárritu is also the star of this film. The Revenant has some of the most beautiful cinematography I've ever seen. It's cold, visceral, and almost entirely authentic from the use of natural lighting to the barebones yet powerful storytelling. You can tell Iñárritu poured his heart into this project and it pays off tremendously. This is not to discount the incredible performances of DiCaprio and Hardy (DiCaprio finally getting his well-overdue Oscar), but it's hard to imagine the movie being so impactful had another director been at the helm.The story is as simple as it gets. In the 1800s, a group of settlers escape an ambush by an indigenous tribe, and during their travels one man gets separated from the group and gets brutally attacked by a wild bear and subsequently left for dead by his team. It's a revenge story more than anything. What it also highlights is human perseverance and the will to live. The things that happen to this man are truly horrific and difficult to watch. I'm not sure what parts of the story were embellished or Hollywoodized, but this film sucks you into this world and puts you right alongside this fatally wounded man desperate to survive. Leonardo DiCaprio gives a heart-wrenching performance as Hugh Glass, expressing a wide range of emotions despite the limited dialogue. Tom Hardy is also phenomenal as one of the most vile, wretched human beings on the planet. This guy is despicable to the core, and you forget you're watching Tom Hardy at times because he's completely absorbed in the role. The supporting cast is great as well despite their small time on screen. As far as performances and cinematography goes, The Revenant is flawless.What prevents this from getting a perfect 10 is one particular storyline that I didn't think was needed, and it involves the wife of Hugh Glass. She's never developed as a character but she appears intermittently in visions and dreams and it almost sucks you out of the movie for a second because of how intense the main narrative is. But this is a very small gripe. From beginning to end this movie had me on the edge of my seat, my jaw on the floor and my eyes glued to the screen. The Revenant is definitely not for everyone, but it's impossible not to appreciate it for the breathtaking cinematic achievement that it is.",8.0,Anonymous,"Action, Adventure, Drama"
In the Bleak Mid-Winter...,"In a cold and bitter land the pelts are gathered, in these times and in this place it's quite a hazard, as the indigenous attack, many find arrows front and back, as they seek to find a daughter who's been taken. An escape leads to a boat and then a hike, where Hugh Glass becomes the victim of a strike, from a rather angry bear, who pokes, prods, rips, shears and tears, leaves him motionless and looking quite deathlike.And so begins a tale of revenge and retribution, of persecution and those with an incredible constitution, in conditions as bleak as any opposing restitution. Great performances all round, especially the two adversaries, from a great director who can spin a yarn, through cinematography that really captures your imagination, and leaves you grateful for the home comforts you have today.",8.0,Anonymous,"Action, Adventure, Drama"
"Absolutely brilliant, one of Iñárritu's and Di Caprio's best","'The Revenant' to me is one of 2015's best films and deserved its hype, its critical acclaim justified. It is easy to understand why the audience reaction is more divided, but to me the low ratings are too harsh. The visuals, direction and acting are so brilliant that even if the film didn't impress me it still would have gotten no lower than a 4 or 5.Its best assets are the visuals and direction. Simply put, 'The Revenant' is one of the best-looking films of the year and a thing of sheer beauty. The settings are rich in atmosphere and the lighting remarkably natural, but it's the cinematography that shines brightest, it's both intimate and immersive. Iñárritu's direction is even better than in his outstanding direction in 'Birdman', some of the best direction of the year.Acting is marvellous, everybody showing great commitment. Leonardo Di Caprio got his only Oscar for his performance here and it was more than well deserved in one of his best films and performances, a performance of emotional intensity and honesty that is most agonisingly poignant. Tom Hardy excels in bringing brooding menace to his role, and Will Poulter is impressive too.'The Revenant' has much more to it than those things. The action is brutally tense and the story, while deliberately paced and very simple, immerses the viewer in how gripping it is, being intense and emotional. The characters are strongly realised.Film fares least in the script which is not bad at all but occasionally a little garbled. This is such a minor criticism however and not enough to bring down my rating.In conclusion, brilliant film. 10/10 Bethany Cox",10.0,Anonymous,"Action, Adventure, Drama"
Survival,"A favorite era of mine for film stories has always been the mountain man era in the American west. No white people in great numbers, just single shot weapons, they were the ones outnumbered so survival against the Indians was far more an even struggle than in the post Civil War west. The Revenant by dint of its many nominations has laid claim to being the greatest film about that era ever made. It goes up against such items as Across The Wide Missouri, The Big Sky, and Mountain Men, Jeremiah Johnson all pretty good films.It would have been hard to deny Leonardo DiCaprio a Best Actor Oscar this time around. He's on screen for most of the time and with minimal dialog DiCaprio has to use facial expressions and body language to convey his emotions. He does it well and should share his Oscar with the cameraman who did all those closeups of him.The plot is best compared to another mountain man picture A Man Called Horse that starred Richard Harris. DiCaprio who was guide to the expedition of fur trappers is badly mauled by a grizzly bear and is after being toted for quite a distance is abandoned by Tom Hardy who claims he died. DiCaprio just wants to settle the score. Unlike Richard Harris he does not find a friendly tribe of Indians to take him in. His survival is his personal story.The Revenant also won the Cinematography Oscar for the shooting of the rugged winter country these men are in. It's so good the landscape, cold and forbidding, becomes almost a character in the film.Like The Old Man And The Sea was for Spencer Tracy The Revenant is a personal film for Leonardo DiCaprio. Unlike Tracy who had that magnificent speaking voice for the narration, no narration here. Just anguished expressions convey what DiCaprio is feeling.Leo got his Oscar and it was a deserved one for The Revenant. It's a great film, but very brutal at times.",8.0,Anonymous,"Action, Adventure, Drama"
"Visually beautiful, story-wise not on par...","The natural landscape and some of the scenes are overwhelming and spectacular! The camera-work is so immersive, you believe are a part of Hugh Glass' journey through the wilderness and back to civilization. Also with great performances not only by DiCaprio, but also Hardy, as the unsympathetic fellow fur trapper leaving Glass behind.Story-wise, it is a bit thin for a 156 min picture. Glass' quest for vengeance is sometimes lost as he utters few words about his drive and is being more or less, chased himself. The story arc of the Indians quest for their daughter felt a bit out of place and strange. We also get to see the fur trappers p.o.v. that left Glass behind and the Captain way ahead of them. Which in my opinion takes a little bit of the magic of Glass' total perilous journey.All my stars goes to the beauty, production value and performances alone! Regardless, this is one of those overlong movies one like, but would not sit out for another viewing!",7.0,Anonymous,"Action, Adventure, Drama"
Almost un-bearable pain,"I went to see ""The Revenant"" on the day that it was nominated for 12 Oscars, which certainly sets the expectation that it is going to be good – and it is. But I saw it described by DiCaprio as an ""epic art-house western"" and that's a good description. In the same way that Iñárritu's ""Birdman"" (this time last year) was unarguably a brilliant but not very mainstream film, so I think the Oscar buzz will attract a big audience to this movie who may find it a struggle to really enjoy. Because it is bleak unremittingly bleak, in terms of the landscape, the weather and the motives of the characters. It is also extremely violent but, unlike ""The Hateful Eight"" (another film I saw this week that was unremittingly bleak) the violence is much more gritty, realistic and visceral making the drama a lot more compelling.DiCaprio plays ""Hugh Glass"", an historical figure who was a legendary fur-trapper in the early 1800's and the central figure in this bear-related yarn. Although the story has been re-embroidered over the years, the 'facts' align with the film's basic story (there's a good ""Daily Telegraph"" article outlining this - see the link on bob-the-movie-man.com).Attacked and pursuing by local natives, Glass's party is striking across woodland when he is viciously attacked by a 500lb Grizzly bear. Although appearing mortally wounded, he is a highly respected individual and so is stretchered up by his boss Captain Henry (Domhnall Gleeson). Unable to proceed further, Henry pays for the mercenary John Fitzgerald (Tom Hardy) to stay with him, together with his half-Pawnee son Hawk and friend Bridger (Will Poulter), to die in peace. Predictably, Fitzgerald is not to be trusted, and Glass is abandoned in a shallow grave. If this is not enough, for other reasons we won't go into, Glass has even less inclination to keep his fellow trapper on his Christmas card list. Thus is set up a classic revenge movie, with Glass determined to stay alive to enact that revenge despite the enormous odds stacked against him.This is surely DiCaprio's year for his elusive Oscar as he turns in a cripplingly painful performance. It is clear that the suffering on screen is not all acting – it cannot be, given the inhospitable conditions in which the crew were filming (in Canada and Argentina). As examples he had to eat raw bison liver as well as suffering a much discussed Han ""I thought they smelled bad on the outside"" Solo moment. Despite having very few lines to deliver, DiCaprio is on screen for 90% of the time, and it is a bravura performance.Tom Hardy – also Oscar nominated – is also impressive as the villain of the piece, although for most of the time his lines might have well been delivered through his Bain mask for the sense they made. He is an inveterate mumbler.Domhnall Gleeson's performance is also compelling, adding a degree of goodness and compassion to the film that was so missing from ""The Hateful 8"". (Gleeson is surely vying this year with Ben Whishaw for the busiest mainstream film appearances after this, ""Ex Machina"", ""Brooklyn"" and ""Star Wars""). Finally Will Poulter gets a chance to shine in an A-grade mainstream dramatic movie and he well and truly makes that grade.Director Alejandro G. Iñárritu has to be commended for eschewing the use of green screens, insisting on live performances and in natural light to boot. Stylistically (and indeed story-wise) the film has many parallels with ""Gladiator"", with its effective and artistically constructed dream sequences. But the film is not without special effects, and these are phenomenal, most incredibly delivered during the relentless and gruelling bear attack scene: a seamless blend of live animal work and effects that make it horrifically believable.There is also some fantastic camera work (by Emmanuel Lubezki) of the ""how the hell did they do that variety"". Recalling his work in ""Birdman"" it's challenging to do single tracking shots of people walking through buildings. To do these same tracking shots during a pitched battle scene is just phenomenal. During one scene in this harrowing sequence at the film's start, the camera is on the ground filming a native galloping towards a victim, then the camera is seamlessly filming the rider as he gallops away. Astonishing.The only area I really didn't care for was the music, by Carsten Nicolai and Ryuichi Sakamoto. A combination of droning strings and (later) some whiny ""Ligeti-style"" elements, it was in turns intrusive, gloomy and annoying. Music should largely stay in the background to set the mood. This didn't.Overall, this is a masterful film, but it is a slog and not a feel-good film to sit through. It also has significant violence which might not suit all viewers, with the final confrontation in particular being one of the most visceral fight scenes I've seen in years.By the way (I had to look it up) the definition of ""revenant"" is:noun1. a person who returns2. a person who returns as a spirit after death; ghost.Now you know too – this public service announcement brought to you by One Mann's Movies! (Please visit the graphical version of this review at http://bob-the-movie-man.com. Thanks.)",9.0,Anonymous,"Action, Adventure, Drama"
Absolute oscar bait,"Yes the cinematography is stunning, that's very true. But it's also most of what the movie offers. It's a simple, age old story of revenge and 80% of it is just Leo crawling around on the ground, breathing intensly. It did not need to be 2.5 hours long",6.0,Anonymous,"Action, Adventure, Drama"
