title,content,rating,username,genres
A master class in screenwriting,"What impresses me about this movie is how much good was done in a short amount of time for each character. There are really clever time-saving 'tricks' like Tony using the broom to bust open the hatch that caused the Spidey costume to come dangling down. That saved them minutes of precious dialogue; it just cut straight to the point. And during that whole scene in Peter's place, almost every line of dialogue counted toward something important, with just enough 'fluff' to make it sound like a real conversation instead of 'movie dialogue' (the funny asides like 'please move your leg' and 'your ridiculously hot aunt'), etc.The same is true about the scene near the beginning with Tony's holographic 'flashback' . That scene served so many purposes at once - first, it got me caught up in the background story; then, it gave me an insight into Tony's attitudes and regrets concerning his parents;
then, when it was shown that it was a therapy technique, it showed me that Tony still has unresolved emotional issues concerning his parents, which then set up the stage for a reveal that causes Tony's later actions.These two previously mentioned scenes took about four or five minutes tops, and many other scenes in the film managed to squeeze in a half-hour's worth of material (per scene) into 5-minute snippets by accomplishing a lot of stuff simultaneously (story-building AND character-building AND plot development) , and making it feel natural and not rushed or forced.This film serves as a great example for others to study when it comes to screenwriting effectiveness. Something really remarkable was done here. And it was very refreshing after seeing so many big-budget blockbusters with horrible screenwriting.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
"GRIPPING, BOLD AND SMART","Captain America Civil War is a gripping, bold, smart and awesome superhero movie. It boasts of a talented cast, a great direction and awesome action sequences. Matching spectacular and epic moments with the smarts of a great, grown up thriller, Captain America Civil War is a fun, epic and emotional ride that you won't miss.Rating: 8,8.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Captain America: Civil War is one of the best in the MCU,This movie has a fantastic plot and brings all these characters perfectly on screen. The conflict between Steve and Tony is written so well. Zemo is also a good side villain in this movie. The action scenes were well-made.,10.0,Anonymous,"Action, Adventure, Sci-Fi"
Excellent character dynamics,"Captain America: Winter Soldier was everything I wanted from a superhero movie. It was well directed, written and acted, and I was very excited for the next Captain America movie. And this movie most definietly delivered in quality. Is it as good as its predecessor? No, definietly not. There are a few flaws, which I'll talk about later. With that being said, this movie gets 4 things right for every one thing it does wrong. The plot is engaging and for the most part easy to follow and the pacing is solid. The characters all feel very 3-dimentional and fleshed out, and none of them feel different from what we already know. The movie's biggest strength is the interactions between the characters, and the different arguments presented by both sides. I love that despite obviously wanting us to side with Cap's team, the movie doesn't really make one side the ""correct"" one. Both sides present reasonable and logical arguments, and there is no right answer to what the Avengers should do. The new characters such as Black Panther and Spiderman are both very interesting and compelling, and both feel like a natural inclusion to the character list. All this is of course helped by some excellent performances as usual. The direction and cinematography are also both really good, and the action scenes are almost just as good as in Winter Soldier, even though some feel a little meaningless. And, while it might not be a big deal, MAN was it good to see a truly great antagonist in Zemo. He's well written and very well played by Daniel Brühl, and he challenges the ideological perspectives of our hero in a way no other villain in the MCU has done before. With that being said, his plan is somewhat ridiculous, and felt a little too complicated. The movie also feels a little dumb sometimes. It feels like Cap and Stark could've solved the issue much sooner had they just communicated better. Those are my main complaints, and while there are a few other things I could nitpick, nothing really ruins the film by any means. It's a more mature take on the Marvel formula, and while it's the best movie in the franchise, it's still more than good enough for me to recommend it.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
I am proud that Sebastian Stan had the chance to speak Romanian and was a nice introduction of Chadwick Boseman,"I am proud to have a fellow Romanian in the States that represents us, our language and values. I am also super happy that I had seen Chadwick Boseman in this movie, because he was a very good actor. I feel shocked that he died so young.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
"""Captain America: Civil War"" Pits Two of MCU's Biggest Heroes in One Epic Confrontation","The Marvel universe gets tenser with the most-awaited ""Civil War"". For what fans clamor to be a storyline that the MCU is building towards, here comes a showdown of Marvel's biggest properties.""Captain America 3"" starts off where ""Avengers: Age of Ultron"" ended, when the New Avengers, led by Steve Rogers/Captain America (Chris Evans), are cornered by international concern in response to continuous collateral damage. As a result, a governing act is proposed to the Avengers, fracturing the team to two sides, one led by Rogers and another led by Tony Stark/Iron Man (Robert Downey Jr.). But when a new threat is on the horizon, the team has to face the repercussions of their brawls.It is a huge help that the Russo Brothers returned to hold the weights of Marvel's Phase Three, after their spontaneous effort in ""The Winter Soldier"". Though ""Civil War"" may not be as solid as its predecessor, it is still a worthy addition to the Avengers storyline and Captain America's saga. Yet, it excels for taking a mature route that brings a compelling character study, a token from the first Avengers movie. Out of such character study is the major theme of vengeance. I am not going to give any more details about it. It is best to be seen and be enamored by how such themes are delivered with an affecting yet entertaining vibe.Kudos to the cast ensemble that all brought their A-game, even though some characters are not that fleshed out, or feeling shoehorned. Evans is at his most moving as the fading patriot who wishes the best for his team and loved ones. Downey Jr. is still what we expected from RDJ. Scarlett Johansson as Black Widow has a neutral but affectionate presence, despite her rather little involvement. The rest of the cast is great to see, with notable breakout performances from Paul Rudd as Scott Lang/Ant-Man/Giant-Man, Chadwick Boseman as T'Challa/Black Panther and Tom Holland as Spider-Man/Peter Parker. And Daniel Bruhl as Helmut Zemo is a better addition to Marvel's lacking lineup of antagonists. But despite the cast's collective efforts, there is an obvious battle for screen time with all characters. Thankfully, it was all salvaged as the two parties brawl in a cleared airport, in an exhilarating action sequence that will surely make every audience member cheer.For all the makings of a summer blockbuster, ""Captain America: Civil War"" gets it all started right. Besides being a loyal companion to the comic book storyline, it is a worthy setup to Marvel's other properties and one that truly can hold on its own, courtesy of its consistent superhero action scenes, the Russo brothers' tense direction, the excellent cast, its thought-provoking themes and its exciting story with its signature Marvel snappy dialogue. Let us hope for the best for MCU's future, including Tom Holland's ""Spider-Man"".",9.0,Anonymous,"Action, Adventure, Sci-Fi"
More of the same,"Aren't you getting sick of seeing the same characters doing the same things? How many Marvel movies do we need this year? Maybe its just me but I'm getting bored seeing the the same old stuff.The first half of the this movie was extremely dull as they set up the premise for the civil war. You'll know exactly when it starts getting exciting. Its moment you saw in the previews when they introduce Spider-man. In fact, Spider-man was my favorite part of the movie and the only reason I didn't hate it. His lines are funny and his interaction with the other characters is very entertaining. Tom Holland will become your favorite Spiderman.The only other part of this movie that I found entertaining was the other new character Black Panther. Without these two new characters this movie would just be same old characters doing the same old stuff. Yes, Marvel has great characters and great actors to play those characters, but that doesn't mean I want to see a movie with them every other week.P.S. If you haven't seen all the other Captain America, Avengers, and Ironman movies you'll probably be lost. I believe all movies should be able to stand alone, even in a trilogy, but if you haven't seen those other movies you're not going to understand a lot of whats going on.",6.0,Anonymous,"Action, Adventure, Sci-Fi"
Now this is a good superhero movie!!,"Hi,  I saw civil war and I come with good news; it's AWESOME!  Im not gonna spoil one single thing, since this movie should be seen by  only the two trailers you probably saw. Don't watch any tvspots after  the second trailer or whatever!  Im gonna touch a few aspects and rate them.  Acting: Of course it's amazing. The characters we were waiting for were  black panther and of course SPIDERMAN! Both were done amazing!  Spiderman has a bigger role than I personally expected and it's done  with grace. Love it. Black Panther was such a good character with great  motivation why he's doing what he's doing. The acting per usual from  the other characters were great! 10/10  Story: Now where another (let's leave it) unnamed superhero movie  failed this year, and no I'm not talking about dead-pool.., was the  story. Now this story is what I expected from the other unnamed  superhero movie. I didn't know what side I wanted to be on; cap's or  iron man's. I was so conflicted and even while they're fighting you  don't know who to root for. The villain in this movie felt a bit, not  really out of place, but unnecessary in my opinion. But Marvel always  struggles to find a good fleshed out villain except for Loki & kingpin  in the series. 8/10   Action/Cinematography: O boy..If you're an action freak you will love  this, if you're a comic book fan.. you're gonna LIVE these amazing  action set pieces. The much anticipated airport scene is AMAZING.  You've seen nothing, literally nothing of the amazing action that will  bestow upon you guys. The airport scene is in complete imax and has a  runtime of around 17 minutes. Just let that sink in! The Russo brothers  know how to create great action and film it great as well. I can go on  record and say this is by far the best superhero action scenes ever.  20/10.   Verdict: Was it a perfect movie? No. But for me as a fan it came darn  close. The only thing that bothered me were the villains, well actually  one of the few that are in there.   Was it better than... Batman v superman.. yes by far. I mean we're in a  comic book movie year, so we might as well compare it. Batman v  superman lacked in a lot of places and civil war just did it better.  Just the conflict in ideologies made it so much more believable why the  characters fought and because this whole story arc is happening now  after 2 cross over movies, 3 iron movies and 2 cap movies.. the stakes  are so incredibly high. I tried to compare dead-pool with it as well,  but it's a different movie in terms of it being a solo movie and  setting something up, instead of showing a conflict between good and  good instead of good and evil.   9 out of 10! Near Perfect movie for the fans(9.5) and a good solid  action film for the general movie go-ers(9)",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Huge amount of spectacle & character moments,"When an incident involving Wanda Maximoff causes a deadly explosion in Lagos, the UN want to regulate the use of the Avengers.'Captain America Civil War' is an enjoyable but slightly overlong MCU movie that has some fantastic spectacle and strong character moments.The plot has an excellent premise with a plausible world reaction to the exploits of a group of people with superpowers and a good villain. Where it slightly falters as a stand-alone movie is the introduction of several new characters that somewhat bogs down the proceedings, but for the wider franchise narrative (and expansion) it is necessary. Several characters have emotional arcs to go through in this story and there is only so much time to do it all.All that being said it has some of the best moments of the franchise, particularly during the scenes of internal conflict amongst the central characters. Iron Man, Black Panther, Captain America and the Winter Soldier are involved in some very compelling scenes, as are Wanda and Vision.Some of the visuals are incredibly well done. The early Lagos action scenes hit like a sledgehammer and you can almost feel the impact of what is being shown. The airport showdown is excessive but so much fun you can imagine the writers planning a fanboy's ultimate fantasy. The final confrontation is well made from a spectacle and character perspective.The first time I saw it was my first sight of the digital effect that makes actors appear younger. This is a very impressive use of CGI that feels like real movie magic.All performances are strong especially Robert Downey Jr and Daniel Bruhl.It's a 7.5/10 for me but I round upwards.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Exceeded my expectations.,"I loved every second of Captain America: Civil War. Everything was so well put and the story and plot worked very smoothly. This movie is everything Batman V. Superman should've been. Every character fit right and at no point did the movie feel crammed with superheroes. In my opinion, the two heroes that stole the show was Spider-Man and black panther. They got both of these characters right especially black panther. As much as I loved Batman V. Superman, I have to give this movie more credit. The Russo brothers did not disappoint and they delivered another marvel masterpiece just like the winter soldier. This movie was very good and I plan on seeing it again when it comes out to all theaters and maybe a couple more times! This movie made me very excited to see what comes next in the MCU.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
