title,content,rating,username,genres
Very grim and disturbing but you can't stop watching,"Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",9.0,Anonymous,"Crime, Drama, Mystery"
An out and out classic.,"A retiring Detective and a young rookie are hunting down a serial killer, a killer with a dark MO, murdering his victims using the seven deadly sins.As I watch this, it's coming up to its thirtieth anniversary, and it's as fresh now as it was back in 1995, it's an intensely macabre take, crimes that are infinitely macabre and depraved, and intensely twisted.The combination of Freeman and Pitt is incredible, they work immensely well together, we have the fresh zest of Mills, and the unshakable, but battle weary Somerset. Paltrow and Spacey are excellent in support.Two hours flashed past, there is no lull, no moment to switch off and boil the kettle, the intensity is immediate, the pacing designed to keep you glued.I have always thought there is a shade of Alfred Hitchcock about this movie, such is the intelligence of the plot.Very good visuals, the macabre and gruesome bodies look shocking still, nothing is spared or hidden away.10/10.",10.0,Anonymous,"Crime, Drama, Mystery"
Still manages to astound after 20 years of repeat viewings,"After his calamitous experience working on his début film Alien 3 (1992), David Fincher took on a small genre picture that, little did he know, would revitalise his career and become one of the greatest films of the 1990's. Se7en appears to begin as your typical detective neo- noir, with the cynical veteran and the naive rookie taking on an elusive serial killer seemed hell-bent on turning the sin against the sinner. But, set in an unnamed and permanently drizzly American city, Se7en is a meditation on evil and a pessimist's depiction on the modern world, climaxing in one of the bravest and most memorable endings in Hollywood history.Detective Somerset (Morgan Freeman) is on the verge of retirement, where he plans to leave his inner-city life behind him after years of fighting on the side of good. His replacement is the brash Detective Mills (Brad Pitt), an optimistic young recruit eager to learn, who Somerset takes under his wing. Their first homicide investigation involves an obese man who has been fed at gunpoint to the point of causing his stomach to rupture. With Somerset ready to leave the force, Mills takes on his first solo case in the murder of a rich attorney, a man forced to cut a pound of flesh from his own body. The murder scene has the words 'greed' written in blood. Somerset eventually finds the word 'gluttony' etched in grease in the apartment of the first victim, and he becomes convinced the murders are connected, and that the killer is murdering under the guidance of the seven deadly sins.The genius of Se7en is rooted in the way the movie keeps the audience as clueless as the detectives. Normally in genre pictures such as this, we either know who the killer is and eagerly wait for the investigators to put the pieces together, or we have a line-up of suspects and red herrings to decide from. Here, apart from brief glimpses during a thrilling chase scene, we are devoid of clues. The killer is always one step ahead of Somerset and Mills, alluding to the idea that the mysterious 'John Doe' is indeed having his work guided by a higher power. Of course, he is not, he is merely a man, but this helps gives Se7en dramatic weight, rather than it becoming a nihilistic exercise in cruelty.When, three-quarters of the movie in, the killer hands himself in, the movie becomes a masterclass in writing, slowly building into one of the greatest climaxes in film. Somerset, a decent man who has devoted his life to the side of good but has had the fight slowly drained out of him, meets his nemesis in John Doe (Kevin Spacey). But as they talk, Doe's reasoning becomes clear and, shockingly, almost sympathetic. ""Wanting people to listen, you can't just tap them on the shoulder anymore, you have to hit them with a sledgehammer,"" he says. It's about a world gone to s**t, a view shared by Mills' wife Tracy (Gwyneth Paltrow), who talks to Somerset in a diner about allowing a baby to be born into the world after discovering she is pregnant. Cerebral and Gothic, Se7en transcends the genre on so many levels thanks to some bleak yet stylish direction by Fincher, and it still manages to astound after almost 20 years of repeat viewings.www.the-wrath-of-blog.blogspot.com",10.0,Anonymous,"Crime, Drama, Mystery"
"A brilliant postmodern film noir that is grim, intelligent and disturbing","From David Fincher, Se7en is a compelling and brilliant postmodern film noir. It is grim and disturbing but it is also very intelligent and daring. What I did love about Se7en especially is that it is incredibly stylish, beautiful dark cinematography and dazzling landscapes really do add to the atmosphere. Very little of the murders are shown but we are appalled and shocked by what we hear of them, the action is tense and the climax is shattering. There is also an intelligent screenplay, a clever plot telling of a vicious serial killer who murders his victims in a gruesome way to atone for the sins(gluttony, greed, sloth, lust, pride, envy and wrath)he deems them to have committed and excellent direction. The acting is also superb, Morgan Freeman gives another brilliant performance as the disillusioned detective and Brad Pitt is great as Mills in a more meatier role than he has ever done. Gwyneth Paltrow makes a small yet significant appearance as Mill's uneasy wife, while Kevin Spacey superbly delivers equally superb dialogue as John Doe despite the fact he isn't in the film much. Overall, a brilliant film, with adept performances, direction, style and ambition. 10/10 Bethany Cox",10.0,Anonymous,"Crime, Drama, Mystery"
Probably the greatest murder story ever,"Seven's quality puts it so far beyond most of the ""cops on trail of deranged killer"" genre that it comes out as a true jewel of cinema. Everything about seven is perfect. It is art captured on film. This movie is a bright spot for all of the stars who worked on it.Brad Pitt never gets the credit he deserves for his acting because he's a pretty boy and the press is a lot more interested about how he and Jennifer are doing. That's a shame because he is a talented actor that isn't afraid to take chances with both the roles that he picks and the characters that he plays. That is quite rare in the A-list world. Morgan Freeman is a great actor. You can always count on him to do what he does best which is play a wise veteran that has seen it all. Kevin Spacey is another great actor that has great range and really puts life and personality into his characters.The real talent of this movie, excluding the actors that brought it to life, is the director David Fincher and the writer Andrew Kevin Walker. Fincher's talents for making a visually stunning film are now well known and he often brings a dark patina to his work. Andrew Kevin Walker must have some incredible demons living inside him. Either that or one hell of an imagination for bringing the intricate story of Seven and the plan of John Doe to life.John Doe's plan really is twisted and I won't be spoiling it here. Suffice to say I have never seen so evil and complicated a plan in a movie before or since. The cinematography of the film is dark but beautiful and throughout the film it is either night or raining or both except for two very brief moments. It is such an emotional movie that you can't keep from being caught up in what is happening. Do you understand and sympathize with what John Doe is doing or do you think him a mad killer that must be stopped.Bottom Line: If you haven't had the opportunity to see Seven yet then you must at least rent it. It is so damn good that I know you will like it. The only reason you wouldn't is because you're just too damn fragile to take something this hardcore.",10.0,Anonymous,"Crime, Drama, Mystery"
Somerset's World,"Seldom does a film elucidate the culpability of our culture,of our society, in the mayhem and madness we often find in everyday life. According to Se7en, our culture is drifting through darkness. The mouthpiece for this thematic undercurrent is Somerset, a literate man who also happens to be a detective, a man who can read a clue (""This isn't going to be a happy ending"") or Dante's Inferno with equal aplomb. He even provides the film's final thematic statement with a quote from Hemingway. His quirkiness, perhaps the outgrowth of a brilliant mind, is no worse than that of any prophet or seer of old, those harbingers of Biblical insight whom others always find kooky and offbeat. He is not well loved for his cynical, pessimistic outlook (such that his consuming motivation is to retire and get out of town). However, by the end it becomes clear that it is Somerset who sees our dark world with the prophet's particular clarity. (It is left to his partner Mills to find this out the hard way).Working on us to reinforce this world as Somerset sees it is the film's astounding mise-en-scene, a disturbing film-noir setting developed by director David Fincher and cinematographer Darius Khondji. Flashlights barely illuminate the slimy walls of the roach-infested tenement of one victim and the dark bedroom of another. Rain pours down in buckets. Bird's-eye-view shots of downtown (the city is never named- a generic, everyman's kind of place) show dingy, sooty rooftops and grimy streets. Only the film's closing scene is in bright sunlight, which by then only serves as ironic counterpoint to what we see happening.This is Somerset's vision; both inhabited and described by him. He finds a surprising fellow traveler in, not his partner, but the elusive killer John Doe. Doe shares the vision and provides an unsettling echo to the rumblings and teachings of Somerset. If one looks at life through the Somerset lens, one must admit that John Doe has a valid point. He and Somerset have arrived at the same conclusion, the difference between them being how they have responded. (Somerset longs to escape to some otherworldly realm in the country. Doe has taken action.)Though gripping and fast moving, this is not an action film. It holds our interest through the workings of horror and mystery: a stark, film-noir detective piece. Except for one tense pursuit through halls and alleys in pouring rain, as well as the bit of ending action, there is surprisingly little violence. We see each murder, save two, after the fact, as a crime scene. This only makes the final act that much more suspenseful.This is a very tight film. Elements within: dialogue, actions, lighting, setting, all of these tend to reinforce one another to paint a solid picture. It is a perverse logic that makes the final and seventh sin complete perfectly the circle of events begun with the first.",,Anonymous,"Crime, Drama, Mystery"
Dark and disturbing thriller that will stay with you for ever.,"Rarely there has been a movie with such a good dark and chilling  atmosphere. I even see this movie more as an horror movie than as a  thriller because of that.  ""Se7en"" is unique in many ways. The movies mood is already set right  from the beginning on. The movie starts dark, intense, chilling and  mysterious, a mood that is present throughout the entire movie. It's  very depressing to watch and I mean that in a positive way of the  meaning of the word. The mood is set by good camera work and lighting,  or better said, the lack of it. The music from acclaimed composer  Howard Shore also adds to the chilling atmosphere.  Unlike many other movies from the same genre, the movie is slow paced  and takes it time to develop the characters without falling into some  obvious cliché's. The two main characters played by Morgan Freeman and  Brad Pitt are presented as an unlikely police-couple that are different  in many ways from each other but in a way that is also what makes them  such a great couple. Brad Pitt for once has the opportunity to play  more than just the pretty boy and he does it with success. Kevin Spacey  truly plays a bone chilling character, almost just as legendary and  chilling as Hannibal Lecter. I would very much like to see the two of  them put in the same room, just to see who would make it out alive.  Further more it was great to see R. Lee Emrey again as the police  captain.  The movie is filled with some truly gross, sickening and horrifying  scene's, this seriously ain't no kids stuff! The movie has some of the  most sickening murders I have ever seen featured in a movie. But it  aren't just only the gross scene's that are good, there are also some  scene's that are made with lot's of beauty and profession such as the  library scene.  Dark and chilling movie that you will never forget also thanks to the  ending which I will not spoil for you. A real must see.  10/10",10.0,Anonymous,"Crime, Drama, Mystery"
Modern Masterpiece!!,"Gothic, shocking, suspenseful, disturbing and clever, `Seven' marked a new beginning for director David Fincher's career. This dark tale of murder and crime revolves around two detectives in present New York city played by two brilliant actors `Brad Pitt' and `Morgan Freeman' who are paired together to solve a puzzle of murder that is at the hands of a man who kills regarding to the seven deadly sins. Both actors displayed striking performances that are so sharp and realistic sometimes you have to remind yourself that's its all acting.David Fincher's masterpiece really gives us an opportunity of a lifetime, maybe it's one that we don't all wish to share, but by seeing this movie you will experience a glimpse of the horrors that this world is filled with, and a small piece of mind of a man who you only prey you never have to meet.Brad Pitt successfully proves to us that he's not just a pretty face on screen, and that he sinks into his character so well, that you can walk off after the film finishes classifying him as a pretty darn good actor.You wouldn't expect anything else from Morgan Freeman because it's perfectly obvious that this guy was born to play the roles of the smart detective.David Fincher's timeless directing and memorable filming captures all the goods that this film has to offer and will undoubtedly leave you shocked and begging for more films like this. Seven is a step into the harsh realities of life, a realistic portrayal of two detectives investigation into the un-describable horrific world murder, and the darkest realms of the human soul.We can only prey for more classic memorable work from Mr. Fincher and for those future directors who are intent on making a gothic, psychological thriller, make sure you sit down and watch Seven with a pen and paper ready to take notes.",10.0,Anonymous,"Crime, Drama, Mystery"
Outstanding Performances / Great Storytelling,"This movie is from start to finish a well produced and directed film.  The performances in this movie are outstanding. Brad Pitt, once again, makes his role a stand-out performance by putting his versatile acting skills into his interpretation of Detective David Mills. Morgan Freeman is well-cast. His brooding acting style fits the character (Detective William Somerset) like a glove, and Gwyneth Paltrow gives her best performance EVER in the role of Brad Pitt's supportive wife/lover (Tracy Mills). And of course, Kevin Spacey who plays the diabolical yet misunderstood serial killer.The movie is suspenseful and in parts very exciting.  There is a ""Pseudo-Noir"" quality to this movie that really fits in well with the content of the film (Serial Killing). It has it's philosophical moments that anyone who thinks a lot about the state of the world today can appreciate. It makes subtle moral judgements without insulting any beliefs that the viewer may have and it also generates debate for any post-film coffee/drinks gathering.Andrew Kevin Walker (Screenplay) has taken the subject of the Seven Deadly Sins and he really puts a great new twist on these themes.  As a writer, I really could appreciate the depth that he goes into with these ideas. The movie gives us just enough information to be entertained and informed yet not bombarded and made bored with too much philosophy.  In this respect, the film doesn't ""preach"" any special meaning even though the film's moral statements are still maintained.  This film can be enjoyed on so many levels and I really enjoyed the third act. One of the best pieces of storytelling and scriptwriting ever.Outstanding performances from everyone involved (And yes, of course, David Fincher does a wonderful job) Say no more. *****",10.0,Anonymous,"Crime, Drama, Mystery"
one of the best-made films of its era and genre,"Despite clichés, and a very depressing finale, this is one of the best-made films of its era and genre.The strengths of the film include an odd relationship between the two lead cops, who seem loosely based on the two lead cops of the ""Lethal Weapon"" series, but who (thankfully) never play for laughs, and never really become ""buddies"" - the young cop is too arrogant, and the older cop has too much experience, which the young cop refuses to acknowledge. The two characters are also brilliantly acted by Morgan Freeman and Brad Pitt (probably his best performance).There's one odd flaw in the film - about half-way through, I found that I had learned to ""expect the unexpected"" from the film, which meant that the rest of the film was predictable in a bizarre way - simply decide where the expected move would be, and then expect the unexpected move instead. The most obvious instance of this is in the finale itself, which could be guessed at least 5 minutes ahead of time.Normally, this would be a formula for disaster - but fortunately, the high quality of the film-making twists the film into an edge-of-the-seat suspenseful waiting game as we watch with horror the one cop's encounter with the insanity of pure evil.I didn't want to admire this film (to be honest, I dislike Brad Pitt something fierce), but I'm afraid I must - very professionally made, it delivers its promised suspense all the way.",9.0,Anonymous,"Crime, Drama, Mystery"
